,Title,Year,Rating,Link,Budget,Gross,Net,Date,Month
61,  Amusement,2008,4.9,/title/tt0476958/,10000000.0,170255.0,-9829745.0,2008-10-09,10
62,  Nature's Grave,2008,5.1,/title/tt1098356/,,,,2009-08-04,08
63,  I Sell the Dead,2008,6,/title/tt0902290/,750000.0,8050.0,-741950.0,2009-01-16,01
64,  Quarantine,2008,5.9,/title/tt1082868/,12000000.0,41319906.0,29319906.0,2008-10-10,10
65,  Cold Prey 2,2008,6.1,/title/tt1188990/,,3517248.0,,2008-10-10,10
66,  Train (I),2008,4.7,/title/tt1015474/,,,,2009-05-02,05
67,  Resident Evil: Degeneration,2008,6.4,/title/tt1174954/,,403117.0,,2008-10-18,10
68,  Saw V,2008,5.8,/title/tt1132626/,10800000.0,113864059.0,103064059.0,2008-10-24,10
69,  Vacancy 2: The First Cut,2008,4.9,/title/tt1204979/,3000000.0,,,2009-01-20,01
70,  Splinter (I),2008,6.1,/title/tt1031280/,,522497.0,,2009-04-03,04
71,  The Haunting of Molly Hartley,2008,3.9,/title/tt1045655/,5000000.0,15418749.0,10418749.0,2008-10-31,10
72,  House,2008,4.5,/title/tt0837796/,2500000.0,1141018.0,-1358982.0,2008-11-07,11
73,  The Children,2008,5.9,/title/tt1172571/,,1300051.0,,2008-12-05,12
74,  Kandisha,2008,6.5,/title/tt1033483/,3500000.0,,,2015-04-05,04
75,  Kill Theory,2009,5.3,/title/tt0893532/,6000000.0,397941.0,-5602059.0,2009-01-08,01
76,  My Bloody Valentine,2009,5.4,/title/tt1179891/,15000000.0,100734718.0,85734718.0,2009-01-16,01
77,  The Unborn,2009,4.7,/title/tt1139668/,16000000.0,76514050.0,60514050.0,2009-01-09,01
78,  Dead Snow,2009,6.3,/title/tt1278340/,800000.0,2166797.0,1366797.0,2009-01-09,01
79,  Grace (III),2009,5.2,/title/tt1220213/,5000000.0,8297.0,-4991703.0,2009-09-15,09
80,  Grotesque,2009,4.7,/title/tt1352369/,,,,2009-05-17,05
81,  The Uninvited,2009,6.3,/title/tt0815245/,,41633384.0,,2009-01-30,01
82,  Friday the 13th,2009,5.5,/title/tt0758746/,19000000.0,91509154.0,72509154.0,2009-02-13,02
83,  Walled In,2009,4.7,/title/tt1104006/,6000000.0,270888.0,-5729112.0,2009-06-19,06
84,  13B: Fear Has a New Address,2009,7.3,/title/tt1385824/,,2482072.0,,2009-03-06,03
85,  Book of Blood,2009,5.2,/title/tt1169809/,6000000.0,567723.0,-5432277.0,2009-05-08,05
86,  The Last House on the Left,2009,6.5,/title/tt0844708/,15000000.0,45995223.0,30995223.0,2009-03-13,03
87,  Drag Me to Hell,2009,6.6,/title/tt1127180/,30000000.0,90842646.0,60842646.0,2009-05-29,05
88,  Vampire Killers,2009,5.1,/title/tt1020885/,,3276702.0,,2009-03-20,03
89,  Laid to Rest,2009,5.2,/title/tt1228933/,,,,2009-03-18,03
90,  The Haunting in Connecticut,2009,5.8,/title/tt0492044/,10000000.0,77578320.0,67578320.0,2009-03-27,03
91,  Blood: The Last Vampire,2009,5.2,/title/tt0806027/,30000000.0,5874530.0,-24125470.0,2009-06-04,06
92,  Night Train (I),2009,5.7,/title/tt1020055/,,,,2009-07-07,07
93,  Tell Tale,2009,5.4,/title/tt1135095/,12000000.0,367586.0,-11632414.0,2009-12-31,12
94,  The House of the Devil,2009,6.3,/title/tt1172994/,900000.0,101215.0,-798785.0,2009-04-25,04
95,  Thirst,2009,7.1,/title/tt0762073/,5000000.0,13085023.0,8085023.0,2009-04-30,04
96,  The Grudge 3,2009,4.6,/title/tt1053859/,5000000.0,1869127.0,-3130873.0,2009-06-02,06
97,  Hunger (I),2009,5.2,/title/tt1176252/,625000.0,,,2009-05-15,05
98,  Don't Look Back,2009,5.8,/title/tt1075113/,13520000.0,2651917.0,-10868083.0,2009-06-03,06
99,  Antichrist,2009,6.5,/title/tt0870984/,11000000.0,7413863.0,-3586137.0,2009-05-20,05
100,  Tormented (I),2009,5.1,/title/tt1100053/,847000.0,1362653.0,515653.0,2009-05-22,05
101,  The Devil's Tomb,2009,3.7,/title/tt1147687/,10000000.0,220925.0,-9779075.0,2009-10-24,10
102,  The Hills Run Red,2009,5.4,/title/tt0907676/,,,,2009-09-29,09
103,  Doghouse,2009,6,/title/tt1023500/,4000000.0,179836.0,-3820164.0,2009-06-12,06
104,  High Lane,2009,5.6,/title/tt1433562/,2464800.0,2141798.0,-323002.0,2009-06-24,06
105,  Exam,2009,6.8,/title/tt1258197/,,394717.0,,2010-06-17,06
106,  Infestation,2009,5.8,/title/tt1020543/,3500000.0,36756.0,-3463244.0,2009-11-28,11
107,  Dread,2009,5.6,/title/tt1331307/,,97438.0,,2009-10-30,10
108,  Possession (I),2009,5.5,/title/tt0368563/,,694193.0,,2009-07-16,07
109,  Orphan,2009,7,/title/tt1148204/,20000000.0,77912251.0,57912251.0,2009-07-24,07
110,  The Collector (I),2009,6.3,/title/tt0844479/,6000000.0,10234475.0,4234475.0,2009-07-31,07
111,  Case 39,2009,6.2,/title/tt0795351/,26000000.0,28190603.0,2190603.0,2010-10-01,10
112,  The Revenant (I),2009,6.3,/title/tt1336006/,,,,2012-08-24,08
113,  Cabin Fever 2: Spring Fever,2009,4.3,/title/tt0961722/,5000000.0,,,2009-09-23,09
114,  The Descent: Part 2,2009,5.7,/title/tt1073105/,,7048886.0,,2009-12-02,12
115,  Forget Me Not (II),2009,5.1,/title/tt1147684/,1300000.0,,,2011-08-03,08
116,  The Final Destination,2009,5.1,/title/tt1144884/,40000000.0,186167139.0,146167139.0,2009-08-28,08
117,  The Horde,2009,5.9,/title/tt1183276/,2964000.0,,,2010-02-10,02
118,  Halloween II,2009,4.8,/title/tt1311067/,15000000.0,39421467.0,24421467.0,2009-08-28,08
119,  The Thaw,2009,5.2,/title/tt1235448/,,149857.0,,2010-09-29,09
120,  Night of the Demons,2009,4.6,/title/tt1268809/,10000000.0,64040.0,-9935960.0,2011-05-26,05
121,  The Human Centipede (First Sequence),2009,4.4,/title/tt1467304/,1560000.0,325113.0,-1234887.0,2010-04-28,04
122,  Heartless (I),2009,5.9,/title/tt1220214/,5000000.0,20435.0,-4979565.0,2010-11-19,11
123,  [Rec]²,2009,6.5,/title/tt1245112/,5600000.0,18853164.0,13253164.0,2009-10-02,10
124,  Survival of the Dead,2009,4.8,/title/tt1134854/,4000000.0,386078.0,-3613922.0,2010-05-06,05
125,  Sorority Row,2009,5.1,/title/tt1232783/,12500000.0,27206120.0,14706120.0,2009-09-11,09
126,  Jennifer's Body,2009,5.4,/title/tt1131734/,16000000.0,31556061.0,15556061.0,2009-09-18,09
127,  Daybreakers,2009,6.4,/title/tt0433362/,20000000.0,51417188.0,31417188.0,2010-01-08,01
128,  The Loved Ones,2009,6.6,/title/tt1316536/,,358399.0,,2010-11-04,11
129,  Solomon Kane,2009,6.1,/title/tt0970452/,45000000.0,19652185.0,-25347815.0,2012-08-24,08
130,  Blood Creek,2009,5.3,/title/tt0450336/,,211398.0,,2009-10-09,10
131,  Amer,2009,6.1,/title/tt1426352/,915200.0,,,2010-03-03,03
132,  Zombieland,2009,7.6,/title/tt1156398/,23600000.0,102392080.0,78792080.0,2009-10-02,10
133,  Pandorum,2009,6.7,/title/tt1188729/,33000000.0,20648328.0,-12351672.0,2009-09-25,09
134,  Wake Wood,2009,5.5,/title/tt1296899/,,10342.0,,2011-03-25,03
135,  Deadline (I),2009,4.6,/title/tt1242618/,1800000.0,,,2010-01-29,01
136,  Splice,2009,5.8,/title/tt1017460/,30000000.0,27127620.0,-2872380.0,2010-06-04,06
137,  Where the Wild Things Are,2009,6.7,/title/tt0386117/,100000000.0,100140916.0,140916.0,2009-10-16,10
138,  Stan Helsing,2009,3.5,/title/tt1185266/,,1475003.0,,2010-03-25,03
139,  Saw VI,2009,6,/title/tt1233227/,11000000.0,68234154.0,57234154.0,2009-10-23,10
140,  The Fourth Kind,2009,5.9,/title/tt1220198/,10000000.0,47719794.0,37719794.0,2009-11-06,11
141,  Nine Dead,2009,5.4,/title/tt0959329/,2000000.0,,,2009-11-06,11
