,Unnamed: 0,Title,Year,Rating,Link,Budget,Gross,Net,Date,Month
17,21,  The Eye,2008,5.4,/title/tt0406759/,12000000.0,58010320.0,46010320.0,2008-02-01,2.0
18,22,  Dark Floors,2008,4.4,/title/tt0985025/,4472000.0,772687.0,-3699313.0,2008-02-08,2.0
19,23,  The Cottage,2008,6.1,/title/tt0465430/,3025000.0,1626080.0,-1398920.0,2008-03-14,3.0
20,27,  Outpost,2008,5.8,/title/tt0892899/,300000.0,463377.0,163377.0,2008-03-11,3.0
21,28,  Shutter (I),2008,5.2,/title/tt0482599/,8000000.0,48555306.0,40555306.0,2008-03-21,3.0
22,30,  The Ruins,2008,5.9,/title/tt0963794/,8000000.0,22818256.0,14818256.0,2008-04-04,4.0
23,31,  Prom Night (I),2008,3.9,/title/tt0926129/,20000000.0,57197876.0,37197876.0,2008-04-11,4.0
24,32,  The Objective,2008,5.4,/title/tt0962711/,4000000.0,95.0,-3999905.0,2008-04-24,4.0
25,34,  Dying Breed,2008,5.3,/title/tt1064744/,2040000.0,370294.0,-1669706.0000000002,2008-11-06,11.0
26,36,  The Midnight Meat Train,2008,6.0,/title/tt0805570/,15000000.0,3534313.0,-11465687.0,2008-10-31,10.0
27,37,  The Strangers,2008,6.1,/title/tt0482606/,9000000.0,82410456.0,73410456.0,2008-05-30,5.0
28,39,  Martyrs,2008,7.0,/title/tt1029234/,3525600.0,1149138.0,-2376462.0,2008-09-03,9.0
29,40,  Lake Mungo,2008,6.3,/title/tt0816556/,952000.0,8128.0,-943872.0,2008-06-18,6.0
30,41,  Hellboy II: The Golden Army,2008,7.0,/title/tt0411477/,85000000.0,168319243.0,83319243.0,2008-07-11,7.0
31,43,  The Echo (I),2008,5.5,/title/tt0897347/,5000000.0,1508127.0,-3491873.0,2009-05-28,5.0
32,44,  Repo! The Genetic Opera,2008,6.4,/title/tt0963194/,8500000.0,188126.0,-8311874.0,2008-11-20,11.0
33,45,  The X Files: I Want to Believe,2008,5.9,/title/tt0443701/,30000000.0,69363381.0,39363381.0,2008-07-25,7.0
34,46,  The Mummy: Tomb of the Dragon Emperor,2008,5.2,/title/tt0859163/,145000000.0,403449830.0,258449830.0,2008-08-01,8.0
35,47,  100 Feet,2008,5.5,/title/tt0899128/,10000000.0,1415804.0,-8584196.0,2008-07-24,7.0
36,48,  Dorothy Mills,2008,6.0,/title/tt1034306/,500000.0,2682733.0,2182733.0,2008-08-06,8.0
37,50,  Mirrors (I),2008,6.1,/title/tt0790686/,35000000.0,78094714.0,43094714.0,2008-08-15,8.0
38,51,  Hush (V),2008,6.0,/title/tt1093369/,1210000.0,288667.0,-921333.0,2009-03-13,3.0
39,52,  Mum & Dad,2008,5.9,/title/tt1129428/,121000.0,2698.0,-118302.0,2008-12-26,12.0
40,53,  Autopsy,2008,5.0,/title/tt0443435/,2000000.0,115800.0,-1884200.0,2009-06-25,6.0
